global_step=91600, episodic_return=[-1040.6973]
global_step=91800, episodic_return=[-957.71075]
global_step=92000, episodic_return=[-1064.0099]
SPS: 255
global_step=92200, episodic_return=[-1173.7102]
global_step=92400, episodic_return=[-1192.808]
global_step=92600, episodic_return=[-1053.6283]
global_step=92800, episodic_return=[-1062.5403]
global_step=93000, episodic_return=[-1194.499]
global_step=93200, episodic_return=[-1363.9832]
global_step=93400, episodic_return=[-1345.9037]
global_step=93600, episodic_return=[-1193.3187]
global_step=93800, episodic_return=[-1153.5084]
global_step=94000, episodic_return=[-1017.95966]
global_step=94200, episodic_return=[-1053.459]
SPS: 255
global_step=94400, episodic_return=[-907.79456]
global_step=94600, episodic_return=[-1213.0919]
global_step=94800, episodic_return=[-1079.8407]
global_step=95000, episodic_return=[-1045.7494]
global_step=95200, episodic_return=[-1133.1971]
global_step=95400, episodic_return=[-1136.4224]
global_step=95600, episodic_return=[-1005.5906]
global_step=95800, episodic_return=[-1051.2402]
global_step=96000, episodic_return=[-1023.6565]
global_step=96200, episodic_return=[-1050.9495]
SPS: 255
global_step=96400, episodic_return=[-1033.6115]
global_step=96600, episodic_return=[-1246.527]
global_step=96800, episodic_return=[-923.77893]
global_step=97000, episodic_return=[-1018.5871]
global_step=97200, episodic_return=[-1225.93]
global_step=97400, episodic_return=[-1054.5032]
global_step=97600, episodic_return=[-1217.1556]
global_step=97800, episodic_return=[-1015.57764]
global_step=98000, episodic_return=[-1040.91]
global_step=98200, episodic_return=[-1218.3188]
SPS: 255
global_step=98400, episodic_return=[-1220.9393]
global_step=98600, episodic_return=[-1036.1935]
global_step=98800, episodic_return=[-1072.5635]
global_step=99000, episodic_return=[-1065.6753]
global_step=99200, episodic_return=[-1038.4725]
global_step=99400, episodic_return=[-917.35266]
global_step=99600, episodic_return=[-1126.822]
global_step=99800, episodic_return=[-1240.4132]
global_step=100000, episodic_return=[-1106.703]
global_step=100200, episodic_return=[-1068.137]
SPS: 255
global_step=100400, episodic_return=[-1067.5027]
global_step=100600, episodic_return=[-1051.5845]
global_step=100800, episodic_return=[-868.5758]
global_step=101000, episodic_return=[-1017.4786]
global_step=101200, episodic_return=[-1032.0867]
global_step=101400, episodic_return=[-988.5125]
global_step=101600, episodic_return=[-1078.9839]
global_step=101800, episodic_return=[-926.8535]
global_step=102000, episodic_return=[-1240.5198]
global_step=102200, episodic_return=[-1036.9578]
global_step=102400, episodic_return=[-1395.0514]
SPS: 255
global_step=102600, episodic_return=[-1023.0236]
global_step=102800, episodic_return=[-1039.2356]
global_step=103000, episodic_return=[-1150.4299]
global_step=103200, episodic_return=[-1140.0244]
global_step=103400, episodic_return=[-1071.257]
global_step=103600, episodic_return=[-1049.1562]
global_step=103800, episodic_return=[-899.27435]
global_step=104000, episodic_return=[-1017.0157]
global_step=104200, episodic_return=[-761.6738]
global_step=104400, episodic_return=[-1487.0126]
SPS: 255
global_step=104600, episodic_return=[-1107.8947]
global_step=104800, episodic_return=[-1245.1803]
global_step=105000, episodic_return=[-1107.8069]
global_step=105200, episodic_return=[-1118.9667]
global_step=105400, episodic_return=[-1058.9838]
global_step=105600, episodic_return=[-988.5194]
global_step=105800, episodic_return=[-911.37195]
global_step=106000, episodic_return=[-1000.8738]
global_step=106200, episodic_return=[-1144.8123]
global_step=106400, episodic_return=[-1014.2344]
SPS: 255
global_step=106600, episodic_return=[-1038.3749]
global_step=106800, episodic_return=[-1125.9567]
global_step=107000, episodic_return=[-1146.591]
global_step=107200, episodic_return=[-1054.0648]
global_step=107400, episodic_return=[-1080.5808]
global_step=107600, episodic_return=[-905.01483]
global_step=107800, episodic_return=[-924.2944]
global_step=108000, episodic_return=[-917.36365]
global_step=108200, episodic_return=[-1111.5193]
global_step=108400, episodic_return=[-1047.4478]
SPS: 255
global_step=108600, episodic_return=[-900.1145]
global_step=108800, episodic_return=[-1011.83234]
global_step=109000, episodic_return=[-1012.97107]
global_step=109200, episodic_return=[-1036.6073]
global_step=109400, episodic_return=[-954.6872]
global_step=109600, episodic_return=[-1025.5256]
global_step=109800, episodic_return=[-1108.924]
global_step=110000, episodic_return=[-1168.58]
global_step=110200, episodic_return=[-894.8837]
global_step=110400, episodic_return=[-977.52765]
SPS: 254
global_step=110600, episodic_return=[-1179.5515]
global_step=110800, episodic_return=[-983.3831]
global_step=111000, episodic_return=[-1031.761]
global_step=111200, episodic_return=[-997.4532]
global_step=111400, episodic_return=[-1084.5935]
global_step=111600, episodic_return=[-901.75793]
global_step=111800, episodic_return=[-1084.736]
global_step=112000, episodic_return=[-1013.5646]
global_step=112200, episodic_return=[-1063.2832]
global_step=112400, episodic_return=[-936.363]
global_step=112600, episodic_return=[-1034.5135]
SPS: 253
global_step=112800, episodic_return=[-1092.9651]
global_step=113000, episodic_return=[-958.8974]
global_step=113200, episodic_return=[-1023.4548]
global_step=113400, episodic_return=[-1010.3865]
global_step=113600, episodic_return=[-1105.8251]
global_step=113800, episodic_return=[-1000.0151]
global_step=114000, episodic_return=[-1018.95593]
global_step=114200, episodic_return=[-897.2132]
global_step=114400, episodic_return=[-1127.7975]
global_step=114600, episodic_return=[-1032.3925]
SPS: 253
global_step=114800, episodic_return=[-985.8339]
global_step=115000, episodic_return=[-1058.4601]
global_step=115200, episodic_return=[-1015.9791]
global_step=115400, episodic_return=[-1023.3669]
global_step=115600, episodic_return=[-915.3282]
global_step=115800, episodic_return=[-1032.8613]
global_step=116000, episodic_return=[-1220.9633]
global_step=116200, episodic_return=[-1043.7059]
global_step=116400, episodic_return=[-1207.8276]
global_step=116600, episodic_return=[-922.35693]
SPS: 253
global_step=116800, episodic_return=[-992.84515]
global_step=117000, episodic_return=[-1088.4031]
global_step=117200, episodic_return=[-1129.5073]
global_step=117400, episodic_return=[-1143.945]
global_step=117600, episodic_return=[-909.2391]
global_step=117800, episodic_return=[-1188.7783]
global_step=118000, episodic_return=[-1386.2443]
global_step=118200, episodic_return=[-847.38043]
global_step=118400, episodic_return=[-1108.9318]
global_step=118600, episodic_return=[-1135.4143]
SPS: 253
global_step=118800, episodic_return=[-1086.6641]
global_step=119000, episodic_return=[-1026.786]
global_step=119200, episodic_return=[-1053.829]
global_step=119400, episodic_return=[-1010.95996]
global_step=119600, episodic_return=[-1145.7196]
global_step=119800, episodic_return=[-1015.33057]
global_step=120000, episodic_return=[-1186.6465]
global_step=120200, episodic_return=[-1046.3223]
global_step=120400, episodic_return=[-1253.8961]
global_step=120600, episodic_return=[-1185.6578]
global_step=120800, episodic_return=[-906.4884]
SPS: 253
global_step=121000, episodic_return=[-1119.2616]
global_step=121200, episodic_return=[-898.83636]
global_step=121400, episodic_return=[-1086.1396]
global_step=121600, episodic_return=[-1000.0077]
global_step=121800, episodic_return=[-1019.6167]
global_step=122000, episodic_return=[-1275.3541]
global_step=122200, episodic_return=[-1036.1385]
global_step=122400, episodic_return=[-1120.7559]
global_step=122600, episodic_return=[-896.08887]
global_step=122800, episodic_return=[-879.9049]
SPS: 253
global_step=123000, episodic_return=[-1197.6943]
global_step=123200, episodic_return=[-900.4256]
global_step=123400, episodic_return=[-1003.09357]
global_step=123600, episodic_return=[-1235.2153]
global_step=123800, episodic_return=[-994.6284]
global_step=124000, episodic_return=[-1108.5785]
global_step=124200, episodic_return=[-1026.752]
global_step=124400, episodic_return=[-1062.0282]
global_step=124600, episodic_return=[-839.29205]
global_step=124800, episodic_return=[-1031.5658]
SPS: 253
global_step=125000, episodic_return=[-969.3128]
global_step=125200, episodic_return=[-1097.0906]
