global_step=50200, episodic_return: -913.931640625
global_step=50400, episodic_return: -1090.5765380859375
global_step=50600, episodic_return: -1188.5289306640625
global_step=50800, episodic_return: -998.6077880859375
global_step=51000, episodic_return: -1096.0087890625
global_step=51200, episodic_return: -907.7236328125
SPS: 101
global_step=51400, episodic_return: -1093.93115234375
global_step=51600, episodic_return: -1024.2244873046875
global_step=51800, episodic_return: -1322.756103515625
global_step=52000, episodic_return: -1044.8038330078125
global_step=52200, episodic_return: -1061.8895263671875
global_step=52400, episodic_return: -1183.4595947265625
global_step=52600, episodic_return: -990.9093017578125
global_step=52800, episodic_return: -896.9320678710938
global_step=53000, episodic_return: -897.6862182617188
global_step=53200, episodic_return: -1002.8204345703125
SPS: 101
global_step=53400, episodic_return: -1030.4708251953125
global_step=53600, episodic_return: -888.9284057617188
global_step=53800, episodic_return: -1662.349853515625
global_step=54000, episodic_return: -1507.94189453125
global_step=54200, episodic_return: -1323.4976806640625
global_step=54400, episodic_return: -962.4843139648438
global_step=54600, episodic_return: -1076.3646240234375
global_step=54800, episodic_return: -989.9154052734375
global_step=55000, episodic_return: -997.8716430664062
global_step=55200, episodic_return: -1202.341552734375
SPS: 101
global_step=55400, episodic_return: -998.9845581054688
global_step=55600, episodic_return: -998.2230224609375
global_step=55800, episodic_return: -971.9492797851562
global_step=56000, episodic_return: -1298.84033203125
global_step=56200, episodic_return: -1442.7471923828125
global_step=56400, episodic_return: -1141.712646484375
global_step=56600, episodic_return: -908.0400390625
global_step=56800, episodic_return: -967.4842529296875
global_step=57000, episodic_return: -1029.157470703125
global_step=57200, episodic_return: -880.6524658203125
SPS: 100
global_step=57400, episodic_return: -899.1905517578125
global_step=57600, episodic_return: -1307.93359375
global_step=57800, episodic_return: -1010.887939453125
global_step=58000, episodic_return: -1095.3377685546875
global_step=58200, episodic_return: -909.819580078125
global_step=58400, episodic_return: -1018.6280517578125
global_step=58600, episodic_return: -775.829345703125
global_step=58800, episodic_return: -1014.0316772460938
global_step=59000, episodic_return: -1207.8463134765625
global_step=59200, episodic_return: -1736.7274169921875
SPS: 99
global_step=59400, episodic_return: -887.8081665039062
global_step=59600, episodic_return: -1110.0577392578125
global_step=59800, episodic_return: -1081.797607421875
global_step=60000, episodic_return: -908.7618408203125
global_step=60200, episodic_return: -1001.6123657226562
global_step=60400, episodic_return: -991.4146118164062
global_step=60600, episodic_return: -972.5380249023438
global_step=60800, episodic_return: -1066.758056640625
global_step=61000, episodic_return: -905.6442260742188
global_step=61200, episodic_return: -1054.08203125
global_step=61400, episodic_return: -1290.7724609375
SPS: 98
global_step=61600, episodic_return: -1421.295654296875
global_step=61800, episodic_return: -1055.9429931640625
global_step=62000, episodic_return: -1221.8880615234375
global_step=62200, episodic_return: -1115.138671875
global_step=62400, episodic_return: -1541.9178466796875
global_step=62600, episodic_return: -1119.3262939453125
global_step=62800, episodic_return: -1048.414306640625
global_step=63000, episodic_return: -1029.7841796875
global_step=63200, episodic_return: -1101.0247802734375
global_step=63400, episodic_return: -1010.770263671875
SPS: 97
global_step=63600, episodic_return: -1050.167236328125
global_step=63800, episodic_return: -1018.9564208984375
global_step=64000, episodic_return: -1312.83447265625
global_step=64200, episodic_return: -1109.8699951171875
global_step=64400, episodic_return: -1140.5390625
global_step=64600, episodic_return: -1061.1473388671875
global_step=64800, episodic_return: -1317.696533203125
global_step=65000, episodic_return: -1134.386962890625
global_step=65200, episodic_return: -1603.6947021484375
global_step=65400, episodic_return: -1111.5228271484375
SPS: 96
global_step=65600, episodic_return: -1007.9796752929688
global_step=65800, episodic_return: -1151.5821533203125
global_step=66000, episodic_return: -1130.9786376953125
global_step=66200, episodic_return: -1020.2039794921875
global_step=66400, episodic_return: -1562.5615234375
global_step=66600, episodic_return: -1101.4375
global_step=66800, episodic_return: -1060.639892578125
global_step=67000, episodic_return: -1379.2186279296875
global_step=67200, episodic_return: -888.5524291992188
global_step=67400, episodic_return: -1203.729248046875
SPS: 95
global_step=67600, episodic_return: -1041.2247314453125
global_step=67800, episodic_return: -1225.3302001953125
global_step=68000, episodic_return: -1066.744873046875
global_step=68200, episodic_return: -966.4138793945312
global_step=68400, episodic_return: -984.4203491210938
global_step=68600, episodic_return: -986.90283203125
global_step=68800, episodic_return: -930.9447021484375
global_step=69000, episodic_return: -1103.614501953125
global_step=69200, episodic_return: -1017.3467407226562
global_step=69400, episodic_return: -1157.6060791015625
global_step=69600, episodic_return: -1007.2445678710938
SPS: 95
global_step=69800, episodic_return: -1062.9967041015625
global_step=70000, episodic_return: -930.5972900390625
global_step=70200, episodic_return: -1292.664794921875
global_step=70400, episodic_return: -1115.5533447265625
global_step=70600, episodic_return: -1336.745849609375
global_step=70800, episodic_return: -1278.492919921875
global_step=71000, episodic_return: -1023.0913696289062
global_step=71200, episodic_return: -1128.3997802734375
global_step=71400, episodic_return: -1011.9148559570312
global_step=71600, episodic_return: -1033.4627685546875
SPS: 94
global_step=71800, episodic_return: -959.9733276367188
global_step=72000, episodic_return: -1134.8031005859375
global_step=72200, episodic_return: -929.5806884765625
global_step=72400, episodic_return: -1200.72412109375
global_step=72600, episodic_return: -955.7850341796875
global_step=72800, episodic_return: -1086.4619140625
global_step=73000, episodic_return: -1157.3751220703125
global_step=73200, episodic_return: -1117.3958740234375
global_step=73400, episodic_return: -1032.371337890625
global_step=73600, episodic_return: -1002.5174560546875
SPS: 93
global_step=73800, episodic_return: -914.3148803710938
global_step=74000, episodic_return: -1062.949462890625
global_step=74200, episodic_return: -1182.4981689453125
global_step=74400, episodic_return: -1129.3726806640625
global_step=74600, episodic_return: -1168.50732421875
global_step=74800, episodic_return: -1149.4224853515625
global_step=75000, episodic_return: -1179.0281982421875
global_step=75200, episodic_return: -910.0784912109375
global_step=75400, episodic_return: -1044.490234375
global_step=75600, episodic_return: -1263.395751953125
SPS: 93
global_step=75800, episodic_return: -1123.843994140625
global_step=76000, episodic_return: -987.7272338867188
global_step=76200, episodic_return: -1133.94873046875
global_step=76400, episodic_return: -1032.0281982421875
global_step=76600, episodic_return: -1235.85009765625
global_step=76800, episodic_return: -1467.828857421875
global_step=77000, episodic_return: -1159.8223876953125
global_step=77200, episodic_return: -1107.794677734375
global_step=77400, episodic_return: -1118.516357421875
global_step=77600, episodic_return: -1319.388427734375
global_step=77800, episodic_return: -1230.7779541015625
SPS: 92
global_step=78000, episodic_return: -1067.6593017578125
global_step=78200, episodic_return: -1073.0413818359375
global_step=78400, episodic_return: -1156.3546142578125
global_step=78600, episodic_return: -1096.561767578125
global_step=78800, episodic_return: -1152.2607421875
global_step=79000, episodic_return: -1129.2738037109375
global_step=79200, episodic_return: -1196.814453125
global_step=79400, episodic_return: -1056.2197265625
global_step=79600, episodic_return: -1399.6083984375
global_step=79800, episodic_return: -1358.2325439453125
SPS: 92
global_step=80000, episodic_return: -1266.0718994140625
global_step=80200, episodic_return: -1418.33984375
global_step=80400, episodic_return: -1042.770751953125
global_step=80600, episodic_return: -1055.052490234375
global_step=80800, episodic_return: -1134.398193359375
global_step=81000, episodic_return: -1072.524169921875
global_step=81200, episodic_return: -1188.72412109375
global_step=81400, episodic_return: -1267.836669921875
global_step=81600, episodic_return: -1176.45263671875
global_step=81800, episodic_return: -1114.14111328125
SPS: 90
global_step=82000, episodic_return: -1042.686279296875
global_step=82200, episodic_return: -1136.240478515625
