global_step=54800, episodic_return: -877.0167846679688
global_step=55000, episodic_return: -1105.0264892578125
global_step=55200, episodic_return: -1109.34619140625
SPS: 114
global_step=55400, episodic_return: -979.9434814453125
global_step=55600, episodic_return: -1054.8408203125
global_step=55800, episodic_return: -1050.608642578125
global_step=56000, episodic_return: -986.0496826171875
global_step=56200, episodic_return: -1224.8321533203125
global_step=56400, episodic_return: -1124.4515380859375
global_step=56600, episodic_return: -909.5029907226562
global_step=56800, episodic_return: -1148.67333984375
global_step=57000, episodic_return: -1052.1815185546875
global_step=57200, episodic_return: -805.2587890625
SPS: 114
global_step=57400, episodic_return: -972.3960571289062
global_step=57600, episodic_return: -1150.4483642578125
global_step=57800, episodic_return: -897.9053344726562
global_step=58000, episodic_return: -1127.1134033203125
global_step=58200, episodic_return: -1165.83837890625
global_step=58400, episodic_return: -1138.9010009765625
global_step=58600, episodic_return: -1046.99658203125
global_step=58800, episodic_return: -893.2857666015625
global_step=59000, episodic_return: -1138.9298095703125
global_step=59200, episodic_return: -1441.3790283203125
SPS: 114
global_step=59400, episodic_return: -1060.569580078125
global_step=59600, episodic_return: -1005.4476928710938
global_step=59800, episodic_return: -1060.596435546875
global_step=60000, episodic_return: -908.11083984375
global_step=60200, episodic_return: -1029.68408203125
global_step=60400, episodic_return: -1035.1273193359375
global_step=60600, episodic_return: -985.3666381835938
global_step=60800, episodic_return: -1148.524169921875
global_step=61000, episodic_return: -1041.452880859375
global_step=61200, episodic_return: -1044.409912109375
global_step=61400, episodic_return: -1086.5745849609375
SPS: 113
global_step=61600, episodic_return: -1137.5010986328125
global_step=61800, episodic_return: -1087.3773193359375
global_step=62000, episodic_return: -1087.7662353515625
global_step=62200, episodic_return: -1130.6099853515625
global_step=62400, episodic_return: -1214.7664794921875
global_step=62600, episodic_return: -957.8657836914062
global_step=62800, episodic_return: -1169.14697265625
global_step=63000, episodic_return: -1021.2686767578125
global_step=63200, episodic_return: -1033.8533935546875
global_step=63400, episodic_return: -1023.1278076171875
SPS: 113
global_step=63600, episodic_return: -1052.653564453125
global_step=63800, episodic_return: -1019.02587890625
global_step=64000, episodic_return: -1120.0831298828125
global_step=64200, episodic_return: -951.837646484375
global_step=64400, episodic_return: -1180.7861328125
global_step=64600, episodic_return: -1057.1885986328125
global_step=64800, episodic_return: -1141.98681640625
global_step=65000, episodic_return: -1116.9871826171875
global_step=65200, episodic_return: -1374.1036376953125
global_step=65400, episodic_return: -1062.724853515625
SPS: 112
global_step=65600, episodic_return: -1031.885986328125
global_step=65800, episodic_return: -967.3226318359375
global_step=66000, episodic_return: -981.631591796875
global_step=66200, episodic_return: -1031.4984130859375
global_step=66400, episodic_return: -1163.875244140625
global_step=66600, episodic_return: -1159.0377197265625
global_step=66800, episodic_return: -1170.9488525390625
global_step=67000, episodic_return: -1130.5107421875
global_step=67200, episodic_return: -1030.035888671875
global_step=67400, episodic_return: -1142.01123046875
SPS: 112
global_step=67600, episodic_return: -1065.8245849609375
global_step=67800, episodic_return: -1137.899658203125
global_step=68000, episodic_return: -808.2761840820312
global_step=68200, episodic_return: -885.0531005859375
global_step=68400, episodic_return: -919.5773315429688
global_step=68600, episodic_return: -882.0567016601562
global_step=68800, episodic_return: -1062.176513671875
global_step=69000, episodic_return: -1134.6611328125
global_step=69200, episodic_return: -894.968505859375
global_step=69400, episodic_return: -905.9722900390625
global_step=69600, episodic_return: -1081.2255859375
SPS: 111
global_step=69800, episodic_return: -1036.56201171875
global_step=70000, episodic_return: -892.9903564453125
global_step=70200, episodic_return: -1034.0875244140625
global_step=70400, episodic_return: -1026.504150390625
global_step=70600, episodic_return: -1146.954345703125
global_step=70800, episodic_return: -1180.56640625
global_step=71000, episodic_return: -768.9619140625
global_step=71200, episodic_return: -878.1322021484375
global_step=71400, episodic_return: -1020.88623046875
global_step=71600, episodic_return: -892.6492309570312
SPS: 111
global_step=71800, episodic_return: -956.461669921875
global_step=72000, episodic_return: -1138.0885009765625
global_step=72200, episodic_return: -905.9249267578125
global_step=72400, episodic_return: -1035.5003662109375
global_step=72600, episodic_return: -1041.4534912109375
global_step=72800, episodic_return: -1145.62939453125
global_step=73000, episodic_return: -1016.476318359375
global_step=73200, episodic_return: -997.115234375
global_step=73400, episodic_return: -1015.1468505859375
global_step=73600, episodic_return: -1013.0935668945312
SPS: 111
global_step=73800, episodic_return: -784.9251098632812
global_step=74000, episodic_return: -1056.0921630859375
global_step=74200, episodic_return: -1086.1649169921875
global_step=74400, episodic_return: -1048.9761962890625
global_step=74600, episodic_return: -893.1248168945312
global_step=74800, episodic_return: -887.126708984375
global_step=75000, episodic_return: -971.7843627929688
global_step=75200, episodic_return: -1034.2733154296875
global_step=75400, episodic_return: -876.6187133789062
global_step=75600, episodic_return: -1174.1751708984375
SPS: 110
global_step=75800, episodic_return: -1012.4171142578125
global_step=76000, episodic_return: -1070.5574951171875
global_step=76200, episodic_return: -1007.9224243164062
global_step=76400, episodic_return: -923.076171875
global_step=76600, episodic_return: -1004.2655639648438
global_step=76800, episodic_return: -1095.58349609375
global_step=77000, episodic_return: -1124.3624267578125
global_step=77200, episodic_return: -1010.5303955078125
global_step=77400, episodic_return: -1033.759033203125
global_step=77600, episodic_return: -1121.8009033203125
global_step=77800, episodic_return: -983.67626953125
SPS: 110
global_step=78000, episodic_return: -1053.405029296875
global_step=78200, episodic_return: -890.7573852539062
global_step=78400, episodic_return: -1002.839111328125
global_step=78600, episodic_return: -882.3475341796875
global_step=78800, episodic_return: -1017.5271606445312
global_step=79000, episodic_return: -763.1292114257812
global_step=79200, episodic_return: -891.7486572265625
global_step=79400, episodic_return: -879.8167114257812
global_step=79600, episodic_return: -1119.1927490234375
global_step=79800, episodic_return: -1274.517822265625
SPS: 108
global_step=80000, episodic_return: -970.0745239257812
global_step=80200, episodic_return: -1162.9820556640625
global_step=80400, episodic_return: -1021.4161376953125
global_step=80600, episodic_return: -788.9798583984375
global_step=80800, episodic_return: -1114.295166015625
global_step=81000, episodic_return: -902.9677734375
global_step=81200, episodic_return: -1136.9224853515625
global_step=81400, episodic_return: -1029.240478515625
global_step=81600, episodic_return: -869.7080078125
global_step=81800, episodic_return: -1136.763916015625
SPS: 107
global_step=82000, episodic_return: -1020.6259765625
global_step=82200, episodic_return: -995.8924560546875
global_step=82400, episodic_return: -893.6073608398438
global_step=82600, episodic_return: -902.1810913085938
global_step=82800, episodic_return: -1033.2557373046875
global_step=83000, episodic_return: -1222.3653564453125
global_step=83200, episodic_return: -1010.959228515625
global_step=83400, episodic_return: -899.7843017578125
global_step=83600, episodic_return: -850.6405639648438
global_step=83800, episodic_return: -900.4955444335938
SPS: 106
global_step=84000, episodic_return: -877.6619262695312
global_step=84200, episodic_return: -1093.3521728515625
global_step=84400, episodic_return: -762.6220703125
global_step=84600, episodic_return: -1024.4324951171875
global_step=84800, episodic_return: -1111.60302734375
global_step=85000, episodic_return: -1031.3365478515625
global_step=85200, episodic_return: -898.7560424804688
global_step=85400, episodic_return: -871.6419067382812
global_step=85600, episodic_return: -1017.3519287109375
global_step=85800, episodic_return: -865.3031005859375
global_step=86000, episodic_return: -984.926513671875
SPS: 105
global_step=86200, episodic_return: -1007.0170288085938
global_step=86400, episodic_return: -893.550048828125
global_step=86600, episodic_return: -773.887939453125
global_step=86800, episodic_return: -871.5657958984375
global_step=87000, episodic_return: -980.4842529296875
global_step=87200, episodic_return: -1147.1177978515625
global_step=87400, episodic_return: -883.7622680664062
global_step=87600, episodic_return: -938.7384033203125
global_step=87800, episodic_return: -996.459716796875
global_step=88000, episodic_return: -900.3046264648438
SPS: 104
global_step=88200, episodic_return: -754.7515258789062
global_step=88400, episodic_return: -892.451171875
global_step=88600, episodic_return: -1075.744384765625
global_step=88800, episodic_return: -1073.5789794921875
global_step=89000, episodic_return: -995.0441284179688
global_step=89200, episodic_return: -996.34326171875
global_step=89400, episodic_return: -948.9447021484375
global_step=89600, episodic_return: -886.1912231445312
global_step=89800, episodic_return: -915.228759765625
global_step=90000, episodic_return: -1013.2035522460938
SPS: 103
global_step=90200, episodic_return: -1337.73583984375
global_step=90400, episodic_return: -763.7066650390625
global_step=90600, episodic_return: -999.4390869140625
global_step=90800, episodic_return: -1236.2950439453125
global_step=91000, episodic_return: -977.5426635742188
global_step=91200, episodic_return: -998.924072265625
global_step=91400, episodic_return: -1025.592041015625
global_step=91600, episodic_return: -900.938232421875
global_step=91800, episodic_return: -784.4766845703125
global_step=92000, episodic_return: -1016.1580810546875
SPS: 102
global_step=92200, episodic_return: -1018.1476440429688
global_step=92400, episodic_return: -1007.8002319335938
global_step=92600, episodic_return: -879.8182983398438
global_step=92800, episodic_return: -767.3526611328125
global_step=93000, episodic_return: -925.561767578125
global_step=93200, episodic_return: -1066.6685791015625
global_step=93400, episodic_return: -1194.43798828125
global_step=93600, episodic_return: -978.6981811523438
global_step=93800, episodic_return: -929.8555908203125
global_step=94000, episodic_return: -888.197509765625
global_step=94200, episodic_return: -756.6204833984375
SPS: 102
global_step=94400, episodic_return: -774.7568969726562
global_step=94600, episodic_return: -988.4459838867188
global_step=94800, episodic_return: -957.76318359375
global_step=95000, episodic_return: -760.1490478515625
global_step=95200, episodic_return: -870.9111938476562
global_step=95400, episodic_return: -883.459716796875
global_step=95600, episodic_return: -839.1207275390625
global_step=95800, episodic_return: -991.0892944335938
global_step=96000, episodic_return: -912.8223266601562
global_step=96200, episodic_return: -874.2836303710938
SPS: 101
global_step=96400, episodic_return: -710.0949096679688
global_step=96600, episodic_return: -1000.021484375
global_step=96800, episodic_return: -768.850830078125
global_step=97000, episodic_return: -875.4430541992188
global_step=97200, episodic_return: -1071.08349609375
global_step=97400, episodic_return: -754.2188720703125
global_step=97600, episodic_return: -916.9183959960938
global_step=97800, episodic_return: -867.804443359375
global_step=98000, episodic_return: -761.1497802734375
global_step=98200, episodic_return: -977.1568603515625
SPS: 100
global_step=98400, episodic_return: -989.0001831054688
global_step=98600, episodic_return: -632.374755859375
global_step=98800, episodic_return: -1004.7906494140625
global_step=99000, episodic_return: -870.9332275390625
global_step=99200, episodic_return: -658.70361328125
global_step=99400, episodic_return: -759.723388671875
global_step=99600, episodic_return: -977.1851806640625
global_step=99800, episodic_return: -999.989501953125
global_step=100000, episodic_return: -837.2510375976562
global_step=100200, episodic_return: -876.8543090820312
SPS: 99
global_step=100400, episodic_return: -902.3908081054688
global_step=100600, episodic_return: -770.1293334960938
global_step=100800, episodic_return: -755.0769653320312
global_step=101000, episodic_return: -721.59375
global_step=101200, episodic_return: -750.5639038085938
global_step=101400, episodic_return: -883.883544921875
global_step=101600, episodic_return: -880.1458740234375
global_step=101800, episodic_return: -756.6799926757812
global_step=102000, episodic_return: -1084.05810546875
global_step=102200, episodic_return: -766.5369873046875
global_step=102400, episodic_return: -1156.8463134765625
SPS: 98
global_step=102600, episodic_return: -744.8804321289062
global_step=102800, episodic_return: -759.9686889648438
global_step=103000, episodic_return: -768.4962768554688
global_step=103200, episodic_return: -863.3226318359375
global_step=103400, episodic_return: -933.0714721679688
global_step=103600, episodic_return: -829.8303833007812
global_step=103800, episodic_return: -763.1340942382812
global_step=104000, episodic_return: -768.9717407226562
global_step=104200, episodic_return: -632.1668090820312
global_step=104400, episodic_return: -1137.6287841796875
SPS: 97
global_step=104600, episodic_return: -940.6913452148438
global_step=104800, episodic_return: -867.3851928710938
global_step=105000, episodic_return: -756.3788452148438
global_step=105200, episodic_return: -850.0809326171875
global_step=105400, episodic_return: -769.8609008789062
global_step=105600, episodic_return: -864.8006591796875
global_step=105800, episodic_return: -753.2523803710938
global_step=106000, episodic_return: -735.617919921875
global_step=106200, episodic_return: -737.8443603515625
global_step=106400, episodic_return: -864.0965576171875
SPS: 96
global_step=106600, episodic_return: -748.3553466796875
global_step=106800, episodic_return: -844.4180908203125
global_step=107000, episodic_return: -850.7855224609375
global_step=107200, episodic_return: -760.204345703125
global_step=107400, episodic_return: -732.0527954101562
global_step=107600, episodic_return: -668.2557373046875
global_step=107800, episodic_return: -663.919677734375
global_step=108000, episodic_return: -638.566162109375
global_step=108200, episodic_return: -848.85546875
global_step=108400, episodic_return: -750.2346801757812
SPS: 95
global_step=108600, episodic_return: -757.2675170898438
global_step=108800, episodic_return: -883.5347290039062
global_step=109000, episodic_return: -750.6949462890625
global_step=109200, episodic_return: -745.8199462890625
global_step=109400, episodic_return: -790.949951171875
global_step=109600, episodic_return: -749.7059326171875
global_step=109800, episodic_return: -752.7040405273438
global_step=110000, episodic_return: -934.1990356445312
global_step=110200, episodic_return: -757.6123046875
global_step=110400, episodic_return: -732.7561645507812
SPS: 94
global_step=110600, episodic_return: -732.4767456054688
global_step=110800, episodic_return: -755.0689697265625
global_step=111000, episodic_return: -752.8538208007812
global_step=111200, episodic_return: -866.4498901367188
global_step=111400, episodic_return: -902.0772705078125
global_step=111600, episodic_return: -759.1266479492188
global_step=111800, episodic_return: -866.4183349609375
global_step=112000, episodic_return: -766.1707153320312
global_step=112200, episodic_return: -626.5359497070312
global_step=112400, episodic_return: -754.5166015625
global_step=112600, episodic_return: -739.6784057617188
SPS: 93
global_step=112800, episodic_return: -733.629638671875
global_step=113000, episodic_return: -866.4522094726562
global_step=113200, episodic_return: -738.7845458984375
global_step=113400, episodic_return: -817.8865966796875
global_step=113600, episodic_return: -871.522216796875
global_step=113800, episodic_return: -767.4669189453125
global_step=114000, episodic_return: -880.3990478515625
global_step=114200, episodic_return: -762.7855224609375
global_step=114400, episodic_return: -787.6902465820312
global_step=114600, episodic_return: -904.3414306640625
SPS: 92
global_step=114800, episodic_return: -796.7631225585938
global_step=115000, episodic_return: -635.865234375
global_step=115200, episodic_return: -737.593505859375
global_step=115400, episodic_return: -885.716064453125
global_step=115600, episodic_return: -680.0526733398438
global_step=115800, episodic_return: -666.5391845703125
global_step=116000, episodic_return: -953.49169921875
global_step=116200, episodic_return: -753.3721923828125
global_step=116400, episodic_return: -935.3993530273438
global_step=116600, episodic_return: -636.7626953125
SPS: 91
global_step=116800, episodic_return: -733.21630859375
global_step=117000, episodic_return: -656.484619140625
global_step=117200, episodic_return: -833.9788208007812
global_step=117400, episodic_return: -1002.273193359375
global_step=117600, episodic_return: -754.5635375976562
global_step=117800, episodic_return: -853.5882568359375
global_step=118000, episodic_return: -905.1176147460938
global_step=118200, episodic_return: -761.8553466796875
global_step=118400, episodic_return: -748.7833251953125
global_step=118600, episodic_return: -863.0249633789062
SPS: 91
global_step=118800, episodic_return: -748.26611328125
global_step=119000, episodic_return: -770.3797607421875
global_step=119200, episodic_return: -697.3603515625
global_step=119400, episodic_return: -761.2265014648438
global_step=119600, episodic_return: -870.1631469726562
global_step=119800, episodic_return: -861.6687622070312
global_step=120000, episodic_return: -745.7190551757812
global_step=120200, episodic_return: -629.762451171875
global_step=120400, episodic_return: -893.103515625
global_step=120600, episodic_return: -864.285888671875
global_step=120800, episodic_return: -671.0332641601562
SPS: 90
global_step=121000, episodic_return: -849.637939453125
global_step=121200, episodic_return: -507.6844482421875
global_step=121400, episodic_return: -740.1234130859375
global_step=121600, episodic_return: -760.4275512695312
global_step=121800, episodic_return: -742.489990234375
global_step=122000, episodic_return: -951.3926391601562
global_step=122200, episodic_return: -757.5964965820312
global_step=122400, episodic_return: -745.8425903320312
global_step=122600, episodic_return: -742.1334228515625
global_step=122800, episodic_return: -635.0440063476562
SPS: 89
global_step=123000, episodic_return: -871.775390625
