
global_step=73000, episodic_return: -1178.8990478515625
global_step=73200, episodic_return: -1238.80908203125
global_step=73400, episodic_return: -1006.6414184570312
global_step=73600, episodic_return: -1166.834228515625
SPS: 59
global_step=73800, episodic_return: -1203.175537109375
global_step=74000, episodic_return: -1212.9754638671875
global_step=74200, episodic_return: -1225.4237060546875
global_step=74400, episodic_return: -1057.3009033203125
global_step=74600, episodic_return: -1119.0487060546875
global_step=74800, episodic_return: -1016.477294921875
global_step=75000, episodic_return: -1474.256103515625
global_step=75200, episodic_return: -1006.8941650390625
global_step=75400, episodic_return: -1150.099609375
global_step=75600, episodic_return: -1484.8687744140625
SPS: 59
global_step=75800, episodic_return: -1093.4512939453125
global_step=76000, episodic_return: -1273.4600830078125
global_step=76200, episodic_return: -989.6343383789062
global_step=76400, episodic_return: -769.9435424804688
global_step=76600, episodic_return: -1241.637939453125
global_step=76800, episodic_return: -1749.4080810546875
global_step=77000, episodic_return: -1229.3968505859375
global_step=77200, episodic_return: -1026.4755859375
global_step=77400, episodic_return: -1232.0439453125
global_step=77600, episodic_return: -1481.886962890625
global_step=77800, episodic_return: -1355.3243408203125
SPS: 59
global_step=78000, episodic_return: -1141.2891845703125
global_step=78200, episodic_return: -1113.5523681640625
global_step=78400, episodic_return: -1175.8946533203125
global_step=78600, episodic_return: -1151.7606201171875
global_step=78800, episodic_return: -1102.523193359375
global_step=79000, episodic_return: -1048.15087890625
global_step=79200, episodic_return: -1048.2955322265625
global_step=79400, episodic_return: -1180.2015380859375
global_step=79600, episodic_return: -1595.2130126953125
global_step=79800, episodic_return: -1654.279052734375
SPS: 59
global_step=80000, episodic_return: -1262.42724609375
global_step=80200, episodic_return: -1728.7808837890625
global_step=80400, episodic_return: -1213.9345703125
global_step=80600, episodic_return: -1053.215576171875
global_step=80800, episodic_return: -1431.9805908203125
global_step=81000, episodic_return: -1085.5584716796875
global_step=81200, episodic_return: -992.3508911132812
global_step=81400, episodic_return: -1386.8382568359375
global_step=81600, episodic_return: -949.3570556640625
global_step=81800, episodic_return: -1571.18359375
SPS: 59
global_step=82000, episodic_return: -1016.560302734375
global_step=82200, episodic_return: -1118.0113525390625
global_step=82400, episodic_return: -1073.7061767578125
global_step=82600, episodic_return: -1029.95556640625
global_step=82800, episodic_return: -1009.7479248046875
global_step=83000, episodic_return: -1645.6251220703125
